X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,600,null,null,1034,83,2019-07-12T14:33:42.023Z,A2JI88OO9BS59Y,spikey
Chrome,750,null,null,1040,76,2019-07-12T14:33:42.023Z,A2JI88OO9BS59Y,red
Chrome,975,null,null,1000,76,2019-07-12T14:33:42.023Z,A2JI88OO9BS59Y,odd
Chrome,825,null,null,1037,76,2019-07-12T14:33:42.023Z,A2JI88OO9BS59Y,spikey
Chrome,900,null,null,996,76,2019-07-12T14:33:42.023Z,A2JI88OO9BS59Y,odd
Chrome,525,null,null,1005,76,2019-07-12T14:33:42.023Z,A2JI88OO9BS59Y,red
Chrome,675,null,null,1021,76,2019-07-12T14:33:42.023Z,A2JI88OO9BS59Y,odd
Chrome,1050,null,null,1047,76,2019-07-12T14:33:42.023Z,A2JI88OO9BS59Y,red
Chrome,450,null,null,992,76,2019-07-12T14:33:42.023Z,A2JI88OO9BS59Y,spikey
Chrome,750,null,null,1011,76,2019-07-12T14:33:42.023Z,A2JI88OO9BS59Y,red
Chrome,825,null,null,1031,76,2019-07-12T14:33:42.023Z,A2JI88OO9BS59Y,red
Chrome,675,null,null,1017,76,2019-07-12T14:33:42.023Z,A2JI88OO9BS59Y,spikey
Chrome,600,null,null,990,76,2019-07-12T14:33:42.023Z,A2JI88OO9BS59Y,odd
Chrome,1050,null,null,1030,76,2019-07-12T14:33:42.023Z,A2JI88OO9BS59Y,spikey
Chrome,900,null,null,958,76,2019-07-12T14:33:42.023Z,A2JI88OO9BS59Y,odd
Chrome,525,null,null,957,76,2019-07-12T14:33:42.023Z,A2JI88OO9BS59Y,red
Chrome,975,null,null,1018,76,2019-07-12T14:33:42.023Z,A2JI88OO9BS59Y,odd
Chrome,450,null,null,1012,76,2019-07-12T14:33:42.023Z,A2JI88OO9BS59Y,spikey
Chrome,750,null,null,1031,76,2019-07-12T14:33:42.023Z,A2JI88OO9BS59Y,red
Chrome,975,null,null,1028,76,2019-07-12T14:33:42.023Z,A2JI88OO9BS59Y,red
Chrome,900,null,null,1046,76,2019-07-12T14:33:42.023Z,A2JI88OO9BS59Y,spikey
Chrome,450,null,null,975,76,2019-07-12T14:33:42.023Z,A2JI88OO9BS59Y,odd
Chrome,825,null,null,1046,76,2019-07-12T14:33:42.023Z,A2JI88OO9BS59Y,odd
Chrome,675,null,null,970,76,2019-07-12T14:33:42.023Z,A2JI88OO9BS59Y,spikey
Chrome,525,null,null,1048,76,2019-07-12T14:33:42.023Z,A2JI88OO9BS59Y,red
Chrome,600,null,null,1049,76,2019-07-12T14:33:42.023Z,A2JI88OO9BS59Y,odd
Chrome,1050,2019-07-12T14:52:47.023Z,,989,76,2019-07-12T14:33:42.023Z,A2JI88OO9BS59Y,spikey
