X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,675,null,null,1011,83,2019-07-10T16:48:43.677Z,A3U74S280Z4B0,red
Chrome,525,null,null,1039,83,2019-07-10T16:48:43.677Z,A3U74S280Z4B0,odd
Chrome,900,null,null,1005,83,2019-07-10T16:48:43.677Z,A3U74S280Z4B0,spikey
Chrome,450,null,null,966,83,2019-07-10T16:48:43.677Z,A3U74S280Z4B0,odd
Chrome,1050,null,null,962,76,2019-07-10T16:48:43.677Z,A3U74S280Z4B0,red
Chrome,825,null,null,1012,83,2019-07-10T16:48:43.677Z,A3U74S280Z4B0,spikey
Chrome,975,null,null,1006,76,2019-07-10T16:48:43.677Z,A3U74S280Z4B0,spikey
Chrome,750,null,null,1025,83,2019-07-10T16:48:43.677Z,A3U74S280Z4B0,red
Chrome,600,null,null,1005,83,2019-07-10T16:48:43.677Z,A3U74S280Z4B0,odd
Chrome,825,null,null,957,83,2019-07-10T16:48:43.677Z,A3U74S280Z4B0,spikey
Chrome,750,null,null,1039,83,2019-07-10T16:48:43.677Z,A3U74S280Z4B0,red
Chrome,975,null,null,951,76,2019-07-10T16:48:43.677Z,A3U74S280Z4B0,odd
Chrome,600,null,null,986,83,2019-07-10T16:48:43.677Z,A3U74S280Z4B0,red
Chrome,675,null,null,972,83,2019-07-10T16:48:43.677Z,A3U74S280Z4B0,red
Chrome,1050,null,null,977,76,2019-07-10T16:48:43.677Z,A3U74S280Z4B0,spikey
Chrome,525,null,null,967,83,2019-07-10T16:48:43.677Z,A3U74S280Z4B0,odd
Chrome,450,null,null,956,83,2019-07-10T16:48:43.677Z,A3U74S280Z4B0,odd
Chrome,900,null,null,955,76,2019-07-10T16:48:43.677Z,A3U74S280Z4B0,spikey
Chrome,900,null,null,990,76,2019-07-10T16:48:43.677Z,A3U74S280Z4B0,odd
Chrome,450,null,null,1044,83,2019-07-10T16:48:43.677Z,A3U74S280Z4B0,spikey
Chrome,975,null,null,970,76,2019-07-10T16:48:43.677Z,A3U74S280Z4B0,red
Chrome,1050,null,null,1046,76,2019-07-10T16:48:43.677Z,A3U74S280Z4B0,red
Chrome,600,null,null,1006,83,2019-07-10T16:48:43.677Z,A3U74S280Z4B0,odd
Chrome,750,null,null,974,76,2019-07-10T16:48:43.677Z,A3U74S280Z4B0,spikey
Chrome,675,null,null,978,83,2019-07-10T16:48:43.677Z,A3U74S280Z4B0,odd
Chrome,825,null,null,963,76,2019-07-10T16:48:43.677Z,A3U74S280Z4B0,red
Chrome,525,2019-07-10T17:01:44.367Z,Very hard to judge those. I thought the vast majority were shorter and the ones I indicated were longer seemed like they may have been barely longer but I was not all that confident.,973,76,2019-07-10T16:48:43.677Z,A3U74S280Z4B0,spikey
