X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,900,null,null,981,76,2019-07-10T00:11:31.943Z,A16TP8YGKE1FJ5,spikey
Chrome,825,null,null,1032,83,2019-07-10T00:11:31.943Z,A16TP8YGKE1FJ5,red
Chrome,525,null,null,1030,83,2019-07-10T00:11:31.943Z,A16TP8YGKE1FJ5,spikey
Chrome,450,null,null,985,83,2019-07-10T00:11:31.943Z,A16TP8YGKE1FJ5,red
Chrome,750,null,null,991,83,2019-07-10T00:11:31.943Z,A16TP8YGKE1FJ5,red
Chrome,975,null,null,1020,83,2019-07-10T00:11:31.943Z,A16TP8YGKE1FJ5,odd
Chrome,600,null,null,1028,83,2019-07-10T00:11:31.943Z,A16TP8YGKE1FJ5,odd
Chrome,1050,null,null,1014,76,2019-07-10T00:11:31.943Z,A16TP8YGKE1FJ5,odd
Chrome,675,null,null,972,83,2019-07-10T00:11:31.943Z,A16TP8YGKE1FJ5,spikey
Chrome,600,null,null,1001,83,2019-07-10T00:11:31.943Z,A16TP8YGKE1FJ5,red
Chrome,900,null,null,1028,83,2019-07-10T00:11:31.943Z,A16TP8YGKE1FJ5,odd
Chrome,1050,null,null,1011,76,2019-07-10T00:11:31.943Z,A16TP8YGKE1FJ5,red
Chrome,525,null,null,950,83,2019-07-10T00:11:31.943Z,A16TP8YGKE1FJ5,red
Chrome,750,null,null,979,83,2019-07-10T00:11:31.943Z,A16TP8YGKE1FJ5,spikey
Chrome,825,null,null,1020,83,2019-07-10T00:11:31.943Z,A16TP8YGKE1FJ5,spikey
Chrome,975,null,null,970,83,2019-07-10T00:11:31.943Z,A16TP8YGKE1FJ5,spikey
Chrome,675,null,null,985,83,2019-07-10T00:11:31.943Z,A16TP8YGKE1FJ5,odd
Chrome,450,null,null,955,83,2019-07-10T00:11:31.943Z,A16TP8YGKE1FJ5,odd
Chrome,1050,null,null,1031,76,2019-07-10T00:11:31.943Z,A16TP8YGKE1FJ5,spikey
Chrome,900,null,null,957,83,2019-07-10T00:11:31.943Z,A16TP8YGKE1FJ5,red
Chrome,450,null,null,1039,83,2019-07-10T00:11:31.943Z,A16TP8YGKE1FJ5,odd
Chrome,750,null,null,991,83,2019-07-10T00:11:31.943Z,A16TP8YGKE1FJ5,spikey
Chrome,825,null,null,991,83,2019-07-10T00:11:31.943Z,A16TP8YGKE1FJ5,odd
Chrome,675,null,null,1039,83,2019-07-10T00:11:31.943Z,A16TP8YGKE1FJ5,red
Chrome,975,null,null,1025,76,2019-07-10T00:11:31.943Z,A16TP8YGKE1FJ5,spikey
Chrome,525,null,null,1032,83,2019-07-10T00:11:31.943Z,A16TP8YGKE1FJ5,odd
Chrome,600,2019-07-10T00:21:43.974Z,all was good,997,83,2019-07-10T00:11:31.943Z,A16TP8YGKE1FJ5,red
