X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,525,null,null,1042,83,2019-09-03T22:53:43.241Z,A3BJCFSYT1GPJ3,red
Chrome,675,null,null,986,76,2019-09-03T22:53:43.241Z,A3BJCFSYT1GPJ3,colorful
Chrome,750,null,null,987,76,2019-09-03T22:53:43.241Z,A3BJCFSYT1GPJ3,colorful
Chrome,1050,null,null,1005,83,2019-09-03T22:53:43.241Z,A3BJCFSYT1GPJ3,odd
Chrome,975,null,null,957,83,2019-09-03T22:53:43.241Z,A3BJCFSYT1GPJ3,red
Chrome,900,null,null,1022,76,2019-09-03T22:53:43.241Z,A3BJCFSYT1GPJ3,odd
Chrome,825,null,null,995,83,2019-09-03T22:53:43.241Z,A3BJCFSYT1GPJ3,odd
Chrome,450,null,null,953,83,2019-09-03T22:53:43.241Z,A3BJCFSYT1GPJ3,colorful
Chrome,600,null,null,959,83,2019-09-03T22:53:43.241Z,A3BJCFSYT1GPJ3,red
Chrome,750,null,null,967,83,2019-09-03T22:53:43.241Z,A3BJCFSYT1GPJ3,odd
Chrome,1050,null,null,978,76,2019-09-03T22:53:43.241Z,A3BJCFSYT1GPJ3,colorful
Chrome,600,null,null,988,83,2019-09-03T22:53:43.241Z,A3BJCFSYT1GPJ3,red
Chrome,675,null,null,1003,83,2019-09-03T22:53:43.241Z,A3BJCFSYT1GPJ3,odd
Chrome,975,null,null,982,76,2019-09-03T22:53:43.241Z,A3BJCFSYT1GPJ3,colorful
Chrome,825,null,null,954,83,2019-09-03T22:53:43.241Z,A3BJCFSYT1GPJ3,red
Chrome,900,null,null,952,76,2019-09-03T22:53:43.241Z,A3BJCFSYT1GPJ3,colorful
Chrome,525,null,null,977,83,2019-09-03T22:53:43.241Z,A3BJCFSYT1GPJ3,odd
Chrome,450,null,null,1045,83,2019-09-03T22:53:43.241Z,A3BJCFSYT1GPJ3,red
Chrome,525,null,null,1027,83,2019-09-03T22:53:43.241Z,A3BJCFSYT1GPJ3,colorful
Chrome,900,null,null,952,76,2019-09-03T22:53:43.241Z,A3BJCFSYT1GPJ3,odd
Chrome,675,null,null,1046,83,2019-09-03T22:53:43.241Z,A3BJCFSYT1GPJ3,red
Chrome,1050,null,null,1033,76,2019-09-03T22:53:43.241Z,A3BJCFSYT1GPJ3,odd
Chrome,750,null,null,1035,83,2019-09-03T22:53:43.241Z,A3BJCFSYT1GPJ3,red
Chrome,600,null,null,1044,83,2019-09-03T22:53:43.241Z,A3BJCFSYT1GPJ3,red
Chrome,975,null,null,964,76,2019-09-03T22:53:43.241Z,A3BJCFSYT1GPJ3,colorful
Chrome,450,null,null,1010,83,2019-09-03T22:53:43.241Z,A3BJCFSYT1GPJ3,odd
Chrome,825,2019-09-03T23:07:30.953Z,,953,76,2019-09-03T22:53:43.241Z,A3BJCFSYT1GPJ3,colorful
