X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,975,null,null,977,76,2019-09-03T20:45:16.835Z,AVXEDARJC5HLU,odd
Chrome,525,null,null,999,76,2019-09-03T20:45:16.835Z,AVXEDARJC5HLU,colorful
Chrome,450,null,null,979,83,2019-09-03T20:45:16.835Z,AVXEDARJC5HLU,colorful
Chrome,675,null,null,959,83,2019-09-03T20:45:16.835Z,AVXEDARJC5HLU,red
Chrome,900,null,null,992,83,2019-09-03T20:45:16.835Z,AVXEDARJC5HLU,odd
Chrome,825,null,null,1019,76,2019-09-03T20:45:16.835Z,AVXEDARJC5HLU,colorful
Chrome,600,null,null,983,83,2019-09-03T20:45:16.835Z,AVXEDARJC5HLU,red
Chrome,1050,null,null,1003,76,2019-09-03T20:45:16.835Z,AVXEDARJC5HLU,red
Chrome,750,null,null,979,83,2019-09-03T20:45:16.835Z,AVXEDARJC5HLU,odd
Chrome,1050,null,null,962,76,2019-09-03T20:45:16.835Z,AVXEDARJC5HLU,colorful
Chrome,975,null,null,960,83,2019-09-03T20:45:16.835Z,AVXEDARJC5HLU,colorful
Chrome,450,null,null,1020,83,2019-09-03T20:45:16.835Z,AVXEDARJC5HLU,red
Chrome,750,null,null,1019,76,2019-09-03T20:45:16.835Z,AVXEDARJC5HLU,odd
Chrome,525,null,null,1035,83,2019-09-03T20:45:16.835Z,AVXEDARJC5HLU,colorful
Chrome,825,null,null,1015,83,2019-09-03T20:45:16.835Z,AVXEDARJC5HLU,odd
Chrome,600,null,null,1041,76,2019-09-03T20:45:16.835Z,AVXEDARJC5HLU,odd
Chrome,675,null,null,1028,76,2019-09-03T20:45:16.835Z,AVXEDARJC5HLU,red
Chrome,900,null,null,1036,83,2019-09-03T20:45:16.835Z,AVXEDARJC5HLU,red
Chrome,675,null,null,1026,83,2019-09-03T20:45:16.835Z,AVXEDARJC5HLU,odd
Chrome,450,null,null,978,83,2019-09-03T20:45:16.835Z,AVXEDARJC5HLU,red
Chrome,975,null,null,984,83,2019-09-03T20:45:16.835Z,AVXEDARJC5HLU,red
Chrome,825,null,null,975,76,2019-09-03T20:45:16.835Z,AVXEDARJC5HLU,odd
Chrome,1050,null,null,1039,76,2019-09-03T20:45:16.835Z,AVXEDARJC5HLU,red
Chrome,600,null,null,1034,83,2019-09-03T20:45:16.835Z,AVXEDARJC5HLU,colorful
Chrome,900,null,null,986,76,2019-09-03T20:45:16.835Z,AVXEDARJC5HLU,colorful
Chrome,750,null,null,1037,83,2019-09-03T20:45:16.835Z,AVXEDARJC5HLU,colorful
Chrome,525,2019-09-03T20:59:06.242Z,,1025,83,2019-09-03T20:45:16.835Z,AVXEDARJC5HLU,odd
