X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,600,null,null,997,83,2019-09-03T20:38:19.676Z,A3AIX82WZQZB5A,colorful
Chrome,450,null,null,1025,83,2019-09-03T20:38:19.676Z,A3AIX82WZQZB5A,red
Chrome,675,null,null,1015,83,2019-09-03T20:38:19.676Z,A3AIX82WZQZB5A,red
Chrome,525,null,null,1002,83,2019-09-03T20:38:19.676Z,A3AIX82WZQZB5A,odd
Chrome,825,null,null,967,76,2019-09-03T20:38:19.676Z,A3AIX82WZQZB5A,odd
Chrome,975,null,null,962,83,2019-09-03T20:38:19.676Z,A3AIX82WZQZB5A,colorful
Chrome,900,null,null,1027,83,2019-09-03T20:38:19.676Z,A3AIX82WZQZB5A,odd
Chrome,1050,null,null,1033,83,2019-09-03T20:38:19.676Z,A3AIX82WZQZB5A,red
Chrome,750,null,null,951,83,2019-09-03T20:38:19.676Z,A3AIX82WZQZB5A,colorful
Chrome,975,null,null,1046,83,2019-09-03T20:38:19.676Z,A3AIX82WZQZB5A,odd
Chrome,750,null,null,987,76,2019-09-03T20:38:19.676Z,A3AIX82WZQZB5A,colorful
Chrome,1050,null,null,1019,83,2019-09-03T20:38:19.676Z,A3AIX82WZQZB5A,colorful
Chrome,675,null,null,1022,83,2019-09-03T20:38:19.676Z,A3AIX82WZQZB5A,odd
Chrome,600,null,null,1040,76,2019-09-03T20:38:19.676Z,A3AIX82WZQZB5A,red
Chrome,525,null,null,976,83,2019-09-03T20:38:19.676Z,A3AIX82WZQZB5A,odd
Chrome,825,null,null,980,76,2019-09-03T20:38:19.676Z,A3AIX82WZQZB5A,red
Chrome,450,null,null,990,83,2019-09-03T20:38:19.676Z,A3AIX82WZQZB5A,colorful
Chrome,900,null,null,1044,83,2019-09-03T20:38:19.676Z,A3AIX82WZQZB5A,red
Chrome,525,null,null,1027,83,2019-09-03T20:38:19.676Z,A3AIX82WZQZB5A,odd
Chrome,750,null,null,1023,83,2019-09-03T20:38:19.676Z,A3AIX82WZQZB5A,odd
Chrome,600,null,null,1027,76,2019-09-03T20:38:19.676Z,A3AIX82WZQZB5A,colorful
Chrome,450,null,null,988,76,2019-09-03T20:38:19.676Z,A3AIX82WZQZB5A,red
Chrome,825,null,null,961,76,2019-09-03T20:38:19.676Z,A3AIX82WZQZB5A,red
Chrome,900,null,null,1023,83,2019-09-03T20:38:19.676Z,A3AIX82WZQZB5A,odd
Chrome,975,null,null,979,76,2019-09-03T20:38:19.676Z,A3AIX82WZQZB5A,colorful
Chrome,1050,null,null,1020,76,2019-09-03T20:38:19.676Z,A3AIX82WZQZB5A,red
Chrome,675,2019-09-03T20:49:56.698Z,,962,76,2019-09-03T20:38:19.676Z,A3AIX82WZQZB5A,colorful
