X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,600,null,null,968,83,2019-09-03T23:54:12.294Z,A30VLAIIJIG5IS,colorful,0
Chrome,825,null,null,975,83,2019-09-03T23:54:12.294Z,A30VLAIIJIG5IS,colorful,0
Chrome,675,null,null,1037,83,2019-09-03T23:54:12.294Z,A30VLAIIJIG5IS,red,0
Chrome,450,null,null,1037,83,2019-09-03T23:54:12.294Z,A30VLAIIJIG5IS,red,0
Chrome,750,null,null,1016,83,2019-09-03T23:54:12.294Z,A30VLAIIJIG5IS,odd,0
Chrome,525,null,null,1036,83,2019-09-03T23:54:12.294Z,A30VLAIIJIG5IS,odd,0
Chrome,900,null,null,1023,76,2019-09-03T23:54:12.294Z,A30VLAIIJIG5IS,red,1
Chrome,1050,null,null,951,76,2019-09-03T23:54:12.294Z,A30VLAIIJIG5IS,colorful,1
Chrome,975,null,null,970,76,2019-09-03T23:54:12.294Z,A30VLAIIJIG5IS,odd,1
Chrome,975,null,null,1004,83,2019-09-03T23:54:12.294Z,A30VLAIIJIG5IS,odd,0
Chrome,675,null,null,979,83,2019-09-03T23:54:12.294Z,A30VLAIIJIG5IS,red,0
Chrome,750,null,null,972,83,2019-09-03T23:54:12.294Z,A30VLAIIJIG5IS,red,0
Chrome,900,null,null,1013,83,2019-09-03T23:54:12.294Z,A30VLAIIJIG5IS,red,0
Chrome,825,null,null,1025,83,2019-09-03T23:54:12.294Z,A30VLAIIJIG5IS,colorful,0
Chrome,600,null,null,960,83,2019-09-03T23:54:12.294Z,A30VLAIIJIG5IS,colorful,0
Chrome,525,null,null,1018,83,2019-09-03T23:54:12.294Z,A30VLAIIJIG5IS,colorful,0
Chrome,450,null,null,996,83,2019-09-03T23:54:12.294Z,A30VLAIIJIG5IS,odd,0
Chrome,1050,null,null,986,76,2019-09-03T23:54:12.294Z,A30VLAIIJIG5IS,odd,1
Chrome,450,null,null,1000,83,2019-09-03T23:54:12.294Z,A30VLAIIJIG5IS,colorful,0
Chrome,825,null,null,979,83,2019-09-03T23:54:12.294Z,A30VLAIIJIG5IS,colorful,0
Chrome,600,null,null,996,83,2019-09-03T23:54:12.294Z,A30VLAIIJIG5IS,red,0
Chrome,1050,null,null,993,76,2019-09-03T23:54:12.294Z,A30VLAIIJIG5IS,red,1
Chrome,750,null,null,987,76,2019-09-03T23:54:12.294Z,A30VLAIIJIG5IS,colorful,1
Chrome,975,null,null,955,83,2019-09-03T23:54:12.294Z,A30VLAIIJIG5IS,odd,0
Chrome,525,null,null,989,83,2019-09-03T23:54:12.294Z,A30VLAIIJIG5IS,odd,0
Chrome,900,null,null,980,76,2019-09-03T23:54:12.294Z,A30VLAIIJIG5IS,odd,1
Chrome,675,2019-09-04T00:16:13.510Z,no problems to report,970,83,2019-09-03T23:54:12.294Z,A30VLAIIJIG5IS,red,0
