X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,750,null,null,1024,83,2019-09-03T20:55:19.444Z,A3NJML8QQIXTAZ,colorful,0
Chrome,675,null,null,983,83,2019-09-03T20:55:19.444Z,A3NJML8QQIXTAZ,red,0
Chrome,975,null,null,971,76,2019-09-03T20:55:19.444Z,A3NJML8QQIXTAZ,colorful,1
Chrome,525,null,null,996,83,2019-09-03T20:55:19.444Z,A3NJML8QQIXTAZ,red,0
Chrome,600,null,null,955,83,2019-09-03T20:55:19.444Z,A3NJML8QQIXTAZ,red,0
Chrome,1050,null,null,1002,76,2019-09-03T20:55:19.444Z,A3NJML8QQIXTAZ,odd,1
Chrome,450,null,null,966,83,2019-09-03T20:55:19.444Z,A3NJML8QQIXTAZ,odd,0
Chrome,825,null,null,1027,83,2019-09-03T20:55:19.444Z,A3NJML8QQIXTAZ,odd,0
Chrome,900,null,null,975,76,2019-09-03T20:55:19.444Z,A3NJML8QQIXTAZ,colorful,1
Chrome,825,null,null,978,76,2019-09-03T20:55:19.444Z,A3NJML8QQIXTAZ,colorful,1
Chrome,750,null,null,977,83,2019-09-03T20:55:19.444Z,A3NJML8QQIXTAZ,colorful,0
Chrome,600,null,null,1023,83,2019-09-03T20:55:19.444Z,A3NJML8QQIXTAZ,odd,0
Chrome,675,null,null,992,83,2019-09-03T20:55:19.444Z,A3NJML8QQIXTAZ,odd,0
Chrome,975,null,null,972,76,2019-09-03T20:55:19.444Z,A3NJML8QQIXTAZ,red,1
Chrome,1050,null,null,985,76,2019-09-03T20:55:19.444Z,A3NJML8QQIXTAZ,red,1
Chrome,450,null,null,972,83,2019-09-03T20:55:19.444Z,A3NJML8QQIXTAZ,red,0
Chrome,525,null,null,951,83,2019-09-03T20:55:19.444Z,A3NJML8QQIXTAZ,odd,0
Chrome,900,null,null,978,83,2019-09-03T20:55:19.444Z,A3NJML8QQIXTAZ,colorful,0
Chrome,750,null,null,1002,83,2019-09-03T20:55:19.444Z,A3NJML8QQIXTAZ,red,0
Chrome,1050,null,null,955,76,2019-09-03T20:55:19.444Z,A3NJML8QQIXTAZ,odd,1
Chrome,600,null,null,988,83,2019-09-03T20:55:19.444Z,A3NJML8QQIXTAZ,red,0
Chrome,825,null,null,962,76,2019-09-03T20:55:19.444Z,A3NJML8QQIXTAZ,colorful,1
Chrome,675,null,null,1026,83,2019-09-03T20:55:19.444Z,A3NJML8QQIXTAZ,red,0
Chrome,525,null,null,992,83,2019-09-03T20:55:19.444Z,A3NJML8QQIXTAZ,colorful,0
Chrome,975,null,null,972,76,2019-09-03T20:55:19.444Z,A3NJML8QQIXTAZ,odd,1
Chrome,900,null,null,1015,83,2019-09-03T20:55:19.444Z,A3NJML8QQIXTAZ,colorful,0
Chrome,450,2019-09-03T21:07:06.089Z,It was difficult to keep focus on the disk - it hurt my eyes. ,956,83,2019-09-03T20:55:19.444Z,A3NJML8QQIXTAZ,odd,0
