X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,900,null,null,1006,83,2019-07-12T19:01:45.730Z,A2RG1JKDWOOIUJ,spikey,0
Chrome,1050,null,null,1041,83,2019-07-12T19:01:45.730Z,A2RG1JKDWOOIUJ,red,0
Chrome,825,null,null,972,76,2019-07-12T19:01:45.730Z,A2RG1JKDWOOIUJ,odd,1
Chrome,525,null,null,997,76,2019-07-12T19:01:45.730Z,A2RG1JKDWOOIUJ,odd,1
Chrome,675,null,null,962,76,2019-07-12T19:01:45.730Z,A2RG1JKDWOOIUJ,red,1
Chrome,750,null,null,1003,76,2019-07-12T19:01:45.730Z,A2RG1JKDWOOIUJ,spikey,1
Chrome,975,null,null,972,76,2019-07-12T19:01:45.730Z,A2RG1JKDWOOIUJ,odd,1
Chrome,600,null,null,975,76,2019-07-12T19:01:45.730Z,A2RG1JKDWOOIUJ,spikey,1
Chrome,450,null,null,957,83,2019-07-12T19:01:45.730Z,A2RG1JKDWOOIUJ,red,0
Chrome,675,null,null,958,83,2019-07-12T19:01:45.730Z,A2RG1JKDWOOIUJ,red,0
Chrome,750,null,null,1032,83,2019-07-12T19:01:45.730Z,A2RG1JKDWOOIUJ,odd,0
Chrome,450,null,null,984,76,2019-07-12T19:01:45.730Z,A2RG1JKDWOOIUJ,spikey,1
Chrome,1050,null,null,1043,83,2019-07-12T19:01:45.730Z,A2RG1JKDWOOIUJ,odd,0
Chrome,975,null,null,959,76,2019-07-12T19:01:45.730Z,A2RG1JKDWOOIUJ,odd,1
Chrome,825,null,null,955,76,2019-07-12T19:01:45.730Z,A2RG1JKDWOOIUJ,red,1
Chrome,600,null,null,1048,83,2019-07-12T19:01:45.730Z,A2RG1JKDWOOIUJ,red,0
Chrome,525,null,null,1025,83,2019-07-12T19:01:45.730Z,A2RG1JKDWOOIUJ,spikey,0
Chrome,900,null,null,1037,83,2019-07-12T19:01:45.730Z,A2RG1JKDWOOIUJ,spikey,0
Chrome,675,null,null,961,76,2019-07-12T19:01:45.730Z,A2RG1JKDWOOIUJ,odd,1
Chrome,450,null,null,1026,83,2019-07-12T19:01:45.730Z,A2RG1JKDWOOIUJ,spikey,0
Chrome,525,null,null,1020,76,2019-07-12T19:01:45.730Z,A2RG1JKDWOOIUJ,spikey,1
Chrome,900,null,null,971,76,2019-07-12T19:01:45.730Z,A2RG1JKDWOOIUJ,odd,1
Chrome,600,null,null,967,76,2019-07-12T19:01:45.730Z,A2RG1JKDWOOIUJ,red,1
Chrome,1050,null,null,1046,83,2019-07-12T19:01:45.730Z,A2RG1JKDWOOIUJ,spikey,0
Chrome,750,null,null,950,76,2019-07-12T19:01:45.730Z,A2RG1JKDWOOIUJ,odd,1
Chrome,825,null,null,986,83,2019-07-12T19:01:45.730Z,A2RG1JKDWOOIUJ,red,0
Chrome,975,2019-07-12T19:14:14.943Z,very effective survey,1022,83,2019-07-12T19:01:45.730Z,A2RG1JKDWOOIUJ,red,0
