X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,675,null,null,954,76,2019-07-12T17:07:31.149Z,A2SS9IDO14UWU8,odd,1
Chrome,525,null,null,978,76,2019-07-12T17:07:31.149Z,A2SS9IDO14UWU8,odd,1
Chrome,900,null,null,978,83,2019-07-12T17:07:31.149Z,A2SS9IDO14UWU8,spikey,0
Chrome,600,null,null,1037,83,2019-07-12T17:07:31.149Z,A2SS9IDO14UWU8,red,0
Chrome,750,null,null,983,76,2019-07-12T17:07:31.149Z,A2SS9IDO14UWU8,red,1
Chrome,975,null,null,987,83,2019-07-12T17:07:31.149Z,A2SS9IDO14UWU8,spikey,0
Chrome,825,null,null,996,76,2019-07-12T17:07:31.149Z,A2SS9IDO14UWU8,spikey,1
Chrome,1050,null,null,1042,76,2019-07-12T17:07:31.149Z,A2SS9IDO14UWU8,red,1
Chrome,450,null,null,1039,76,2019-07-12T17:07:31.149Z,A2SS9IDO14UWU8,odd,1
Chrome,825,null,null,1023,83,2019-07-12T17:07:31.149Z,A2SS9IDO14UWU8,odd,0
Chrome,975,null,null,1045,83,2019-07-12T17:07:31.149Z,A2SS9IDO14UWU8,odd,0
Chrome,675,null,null,1010,83,2019-07-12T17:07:31.149Z,A2SS9IDO14UWU8,red,0
Chrome,600,null,null,1038,83,2019-07-12T17:07:31.149Z,A2SS9IDO14UWU8,red,0
Chrome,525,null,null,995,83,2019-07-12T17:07:31.149Z,A2SS9IDO14UWU8,spikey,0
Chrome,450,null,null,1032,76,2019-07-12T17:07:31.149Z,A2SS9IDO14UWU8,odd,1
Chrome,750,null,null,961,83,2019-07-12T17:07:31.149Z,A2SS9IDO14UWU8,red,0
Chrome,1050,null,null,1018,83,2019-07-12T17:07:31.149Z,A2SS9IDO14UWU8,spikey,0
Chrome,900,null,null,1037,83,2019-07-12T17:07:31.149Z,A2SS9IDO14UWU8,spikey,0
Chrome,825,null,null,1043,76,2019-07-12T17:07:31.149Z,A2SS9IDO14UWU8,spikey,1
Chrome,450,null,null,971,83,2019-07-12T17:07:31.149Z,A2SS9IDO14UWU8,odd,0
Chrome,600,null,null,1040,76,2019-07-12T17:07:31.149Z,A2SS9IDO14UWU8,odd,1
Chrome,525,null,null,966,76,2019-07-12T17:07:31.149Z,A2SS9IDO14UWU8,red,1
Chrome,1050,null,null,982,76,2019-07-12T17:07:31.149Z,A2SS9IDO14UWU8,spikey,1
Chrome,975,null,null,1007,76,2019-07-12T17:07:31.149Z,A2SS9IDO14UWU8,red,1
Chrome,750,null,null,1020,83,2019-07-12T17:07:31.149Z,A2SS9IDO14UWU8,odd,0
Chrome,900,null,null,968,83,2019-07-12T17:07:31.149Z,A2SS9IDO14UWU8,spikey,0
Chrome,675,2019-07-12T17:22:36.237Z,,1045,83,2019-07-12T17:07:31.149Z,A2SS9IDO14UWU8,red,0
