X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,975,null,null,997,76,2019-07-12T15:56:11.722Z,A1PR74OHURJNTO,spikey,1
Chrome,600,null,null,995,83,2019-07-12T15:56:11.722Z,A1PR74OHURJNTO,spikey,0
Chrome,525,null,null,970,76,2019-07-12T15:56:11.722Z,A1PR74OHURJNTO,red,1
Chrome,675,null,null,988,76,2019-07-12T15:56:11.722Z,A1PR74OHURJNTO,odd,1
Chrome,825,null,null,970,83,2019-07-12T15:56:11.722Z,A1PR74OHURJNTO,red,0
Chrome,1050,null,null,953,83,2019-07-12T15:56:11.722Z,A1PR74OHURJNTO,odd,0
Chrome,900,null,null,968,83,2019-07-12T15:56:11.722Z,A1PR74OHURJNTO,odd,0
Chrome,750,null,null,1002,76,2019-07-12T15:56:11.722Z,A1PR74OHURJNTO,red,1
Chrome,450,null,null,1017,76,2019-07-12T15:56:11.722Z,A1PR74OHURJNTO,spikey,1
Chrome,600,null,null,958,76,2019-07-12T15:56:11.722Z,A1PR74OHURJNTO,odd,1
Chrome,675,null,null,955,76,2019-07-12T15:56:11.722Z,A1PR74OHURJNTO,spikey,1
Chrome,1050,null,null,961,83,2019-07-12T15:56:11.722Z,A1PR74OHURJNTO,spikey,0
Chrome,900,null,null,1005,83,2019-07-12T15:56:11.722Z,A1PR74OHURJNTO,odd,0
Chrome,450,null,null,1027,83,2019-07-12T15:56:11.722Z,A1PR74OHURJNTO,spikey,0
Chrome,750,null,null,958,83,2019-07-12T15:56:11.722Z,A1PR74OHURJNTO,red,0
Chrome,825,null,null,1033,76,2019-07-12T15:56:11.722Z,A1PR74OHURJNTO,red,1
Chrome,975,null,null,1011,76,2019-07-12T15:56:11.722Z,A1PR74OHURJNTO,red,1
Chrome,525,null,null,977,76,2019-07-12T15:56:11.722Z,A1PR74OHURJNTO,odd,1
Chrome,750,null,null,1020,83,2019-07-12T15:56:11.722Z,A1PR74OHURJNTO,red,0
Chrome,525,null,null,1001,83,2019-07-12T15:56:11.722Z,A1PR74OHURJNTO,red,0
Chrome,825,null,null,953,83,2019-07-12T15:56:11.722Z,A1PR74OHURJNTO,odd,0
Chrome,675,null,null,1036,83,2019-07-12T15:56:11.722Z,A1PR74OHURJNTO,odd,0
Chrome,900,null,null,985,76,2019-07-12T15:56:11.722Z,A1PR74OHURJNTO,spikey,1
Chrome,975,null,null,982,76,2019-07-12T15:56:11.722Z,A1PR74OHURJNTO,spikey,1
Chrome,450,null,null,986,76,2019-07-12T15:56:11.722Z,A1PR74OHURJNTO,red,1
Chrome,1050,null,null,1001,76,2019-07-12T15:56:11.722Z,A1PR74OHURJNTO,spikey,1
Chrome,600,2019-07-12T16:06:26.225Z,,973,83,2019-07-12T15:56:11.722Z,A1PR74OHURJNTO,odd,0
